Age,Grad_Period,Children,S1,A2,D3,A4,D5,S6,A7,S8,A9,D10,S11,S12,D13,S14,A15,D16,D17,S18,A19,A20,D21
30,3,0,0,2,0,1,2,3,1,1,1,1,1,1,2,1,1,0,1,1,0,0,1
23,2,0,2,2,1,0,2,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
26,5,0,1,1,0,0,1,1,2,2,0,1,4,1,0,1,1,1,0,2,2,1,1
18,6,0,1,2,1,1,2,1,0,0,2,1,3,1,2,1,1,1,0,1,2,1,0
26,5,0,2,1,0,0,1,1,0,0,1,1,2,2,0,2,0,0,1,1,1,0,1
22,6,0,2,1,1,0,1,0,0,0,1,0,1,3,0,0,1,0,3,0,1,1,2
20,5,0,0,1,1,0,1,2,0,1,0,2,3,3,0,2,0,2,0,0,1,0,2
24,11,0,2,1,1,1,1,0,0,0,0,0,1,3,3,1,0,0,1,1,0,0,0
19,5,0,2,1,2,0,1,1,0,0,1,2,1,1,2,1,0,1,3,0,1,0,0
24,2,0,1,1,0,0,1,1,1,3,0,1,2,0,2,1,0,1,1,1,0,0,2
23,6,0,4,1,2,0,1,1,1,2,0,1,0,2,4,1,1,1,1,1,0,0,0
27,2,0,1,2,0,0,2,2,0,1,1,1,2,3,1,1,0,1,3,1,3,0,0
27,9,0,0,1,1,0,1,2,0,2,0,0,2,2,1,1,1,1,1,1,0,2,0
18,8,0,0,2,1,2,2,2,2,2,1,1,1,0,1,2,0,0,1,1,0,1,1
24,7,0,0,0,2,1,0,1,0,1,0,0,3,1,2,1,1,0,0,4,1,1,1
22,6,0,0,2,1,1,2,0,2,1,0,4,1,2,1,2,0,0,1,2,1,0,1
22,10,0,0,0,1,2,0,0,0,2,0,2,2,0,0,1,0,1,2,2,1,1,2
27,8,0,2,2,1,1,2,2,2,1,1,2,3,3,3,1,0,1,2,2,1,0,2
23,8,0,1,0,1,1,0,0,1,2,1,3,1,1,0,1,1,0,1,2,1,1,2
22,6,0,1,1,1,0,1,2,1,1,1,2,1,2,0,2,1,0,2,1,0,0,2
18,6,0,1,0,1,0,0,1,1,2,1,2,1,1,0,0,0,1,2,2,0,2,0
24,4,0,1,0,0,2,0,2,0,0,1,0,2,2,0,1,0,0,1,1,0,2,1
28,5,0,1,0,1,0,0,0,0,2,2,1,1,0,2,2,0,2,1,0,0,0,0
21,3,0,0,2,1,1,2,2,2,0,0,2,0,2,2,2,1,2,0,0,0,2,2
18,11,0,3,0,0,0,0,1,3,2,0,1,3,2,1,1,1,1,0,0,1,1,3
18,4,0,1,1,1,0,1,0,0,0,1,1,1,2,1,3,0,1,0,0,0,1,0
23,8,0,0,1,0,1,1,2,1,1,0,4,0,1,1,1,0,1,2,3,0,1,0
22,12,0,0,2,1,2,2,2,1,2,1,0,2,2,2,1,0,1,1,1,1,0,2
24,7,0,2,2,2,0,2,2,0,1,0,3,0,2,2,1,1,1,2,1,1,0,1
26,13,0,2,0,0,0,0,3,1,2,0,2,2,1,3,2,0,1,0,1,1,1,2
22,7,0,0,1,2,0,1,1,0,2,0,0,2,0,1,1,0,1,1,3,3,0,1
29,8,0,1,0,1,0,0,0,1,1,2,2,1,3,2,0,0,2,2,1,2,0,3
29,9,0,2,0,1,1,0,0,0,1,0,0,1,2,2,1,2,3,0,3,0,1,1
31,5,0,0,1,0,1,1,2,0,0,3,1,3,3,1,1,1,0,1,3,3,2,0
23,10,0,0,1,0,2,1,0,0,1,1,0,1,3,2,0,0,0,0,0,1,1,0
29,8,0,3,1,1,0,1,0,0,0,1,0,1,2,1,3,0,1,2,1,0,2,0
19,5,0,2,2,1,0,2,0,0,0,1,0,2,2,1,0,0,1,2,1,0,1,1
22,8,0,1,1,0,1,1,3,1,2,1,0,2,2,1,0,0,2,2,0,0,0,0
27,9,0,1,2,2,0,2,2,1,0,2,0,0,2,0,0,0,1,1,1,0,1,1
24,6,0,2,2,0,2,2,2,0,0,2,2,1,1,1,2,0,1,0,3,0,1,2
21,8,0,0,1,0,0,1,2,1,1,1,1,1,4,1,1,1,1,0,0,2,2,3
26,3,0,2,1,1,0,1,1,2,1,2,1,2,0,0,0,1,0,2,0,0,0,1
18,6,0,2,1,0,0,1,0,1,2,0,0,1,1,0,1,0,1,0,1,2,1,1
24,0,0,2,0,0,1,0,1,1,2,1,1,2,1,2,0,0,1,2,2,2,0,1
23,8,0,3,0,1,2,0,0,1,2,2,1,1,1,2,1,1,1,0,0,1,1,1
21,4,0,2,0,0,0,0,3,0,2,1,1,1,1,2,1,1,0,1,1,1,1,1
22,6,0,0,0,2,1,0,1,1,1,0,1,1,0,2,3,0,1,0,1,1,2,1
26,5,0,1,0,3,0,0,2,1,1,0,0,1,0,1,0,0,1,1,3,0,0,0
18,7,0,0,3,2,0,3,0,1,1,1,1,2,2,1,0,0,0,3,1,0,2,1
20,6,0,0,1,2,0,1,1,0,2,1,2,0,1,1,1,0,1,2,0,1,2,0
26,4,0,1,0,1,0,0,1,0,1,0,2,2,1,1,2,1,0,2,0,1,0,2
25,6,0,2,0,1,0,0,2,1,1,0,0,1,0,1,1,0,2,0,2,2,1,1
22,7,0,1,0,0,1,0,1,0,2,0,1,3,1,3,1,0,0,0,2,0,1,3
28,4,0,0,0,2,1,0,2,1,0,1,0,1,1,3,1,1,1,0,2,1,1,0
22,4,0,2,0,1,2,0,1,0,1,2,0,2,1,1,1,0,1,2,3,2,2,0
24,6,0,1,1,1,1,1,2,0,2,0,0,3,2,2,1,1,1,1,0,1,0,0
18,1,0,2,0,1,0,0,1,0,2,0,0,3,1,2,1,1,1,2,2,1,1,1
28,8,0,1,0,1,0,0,1,1,0,1,2,1,1,1,1,0,1,0,0,1,1,2
18,8,0,1,1,1,0,1,1,1,2,0,3,3,2,0,1,0,1,0,0,0,2,2
28,9,0,1,0,0,0,0,0,2,1,0,1,3,2,2,2,2,0,0,1,0,0,0
24,9,0,1,0,1,1,0,1,0,0,0,1,1,3,0,1,1,2,1,0,2,3,1
23,4,0,2,1,1,0,1,2,0,1,1,1,1,1,2,1,0,1,2,0,0,0,2
24,7,0,1,0,1,1,0,0,1,0,0,2,4,3,1,1,1,0,1,1,0,1,3
23,7,0,2,0,1,1,0,0,0,2,0,2,0,2,2,0,0,1,1,0,2,0,2
26,5,0,3,0,0,0,0,2,0,3,0,2,1,3,1,1,0,1,1,3,2,0,1
26,3,0,2,0,1,0,0,1,1,0,0,0,2,2,2,1,0,0,1,1,0,1,1
22,6,0,1,3,1,1,3,1,2,2,1,0,2,2,1,2,0,0,1,1,1,1,0
21,4,0,2,0,1,1,0,2,0,1,1,1,1,2,1,1,1,0,2,0,0,1,1
20,4,0,1,1,1,1,1,0,2,0,2,0,2,2,1,1,0,2,0,1,2,1,2
21,0,0,0,1,1,2,1,0,0,0,0,1,3,3,1,2,0,1,0,0,1,0,0
23,9,0,0,0,1,2,0,2,0,2,1,1,2,3,1,1,1,1,0,3,2,0,0
27,9,0,2,0,2,1,0,0,0,2,3,0,1,2,3,1,0,0,1,0,1,2,1
23,3,0,3,0,2,0,0,2,0,1,0,1,3,1,1,0,2,0,0,1,0,0,0
19,6,0,2,0,0,0,0,2,0,0,0,2,2,2,2,1,1,1,1,0,1,1,2
19,8,0,0,1,0,1,1,2,0,2,0,1,0,2,1,2,0,0,2,1,0,0,1
21,7,0,2,0,1,1,0,0,2,1,1,1,2,2,0,2,1,0,1,0,1,1,0
23,6,0,1,0,0,1,0,2,1,1,0,2,2,2,2,2,1,0,0,1,1,1,0
26,9,0,2,0,1,1,0,0,1,0,0,1,2,2,2,1,2,0,0,1,1,0,0
26,4,0,0,0,0,2,0,2,0,3,1,1,1,1,0,0,0,1,0,1,3,2,1
27,4,0,1,2,1,0,2,1,0,2,1,1,0,0,3,1,0,1,0,1,3,0,1
21,6,0,3,3,1,1,3,2,0,1,2,2,1,1,1,2,0,2,0,3,1,0,0
21,5,0,0,0,1,1,0,2,2,1,0,3,1,1,2,1,0,1,1,2,1,1,0
26,1,0,1,0,0,0,0,2,1,2,1,2,2,2,0,1,2,2,0,1,2,2,2
19,10,0,1,2,1,1,2,1,0,2,1,0,1,1,1,2,0,1,0,1,0,1,1
24,3,0,2,1,1,1,1,0,1,1,0,0,2,1,2,0,0,0,0,1,1,1,2
21,7,0,1,2,1,1,2,1,1,0,1,2,2,2,0,1,0,1,0,1,0,0,1
23,7,0,1,1,1,0,1,1,0,1,2,1,1,1,0,0,0,0,2,0,2,3,2
25,4,0,2,1,1,1,1,0,1,0,3,1,3,1,1,1,0,2,2,2,2,0,1
20,5,0,1,1,1,0,1,1,0,2,0,3,2,2,1,2,0,1,2,1,2,0,2
21,4,0,2,0,0,0,0,2,1,1,1,0,2,1,2,0,1,0,0,0,0,2,0
26,9,0,3,0,0,1,0,2,0,0,0,0,0,2,2,1,0,0,1,1,1,1,0
25,8,0,1,0,1,2,0,0,1,1,1,1,2,1,0,1,1,1,1,0,1,0,1
23,11,0,2,1,1,1,1,0,1,2,1,0,1,2,1,1,1,0,0,2,1,1,1
30,7,0,0,0,1,0,0,0,1,1,0,2,2,3,1,2,0,2,1,0,1,1,1
27,8,0,1,1,2,1,1,1,1,0,0,2,2,3,0,0,0,1,1,1,1,0,2
18,6,0,0,1,1,2,1,0,0,2,0,3,1,2,1,3,2,1,0,1,0,1,0
24,8,0,2,1,0,1,1,0,0,3,1,0,2,2,0,0,0,1,2,1,0,1,0
24,3,0,2,0,1,1,0,0,1,2,1,1,1,0,1,1,0,0,0,2,2,0,0
18,3,0,1,0,1,1,0,2,0,2,1,0,1,2,1,1,1,0,1,1,0,1,2
26,8,0,1,0,1,1,0,1,0,1,1,1,0,2,1,1,0,0,1,3,0,0,1
21,8,0,0,0,2,0,0,0,1,1,0,2,2,1,1,1,0,1,1,0,1,1,1
25,5,0,3,1,1,1,1,1,1,0,0,1,1,2,0,1,0,2,0,1,2,0,1
21,9,0,0,2,1,1,2,0,0,1,0,3,2,2,1,1,0,1,2,2,0,0,0
19,2,0,2,1,1,1,1,0,0,1,1,0,1,1,0,2,0,1,2,1,1,0,0
25,10,0,0,2,2,1,2,1,1,2,0,2,1,2,2,1,0,1,0,1,2,1,0
20,4,0,2,1,1,0,1,1,3,2,0,0,2,0,1,0,0,0,1,1,0,1,3
28,6,0,3,2,0,0,2,0,1,2,0,0,0,1,1,1,1,2,2,0,3,0,0
27,4,0,3,0,2,0,0,0,1,3,1,0,1,1,0,0,1,2,1,0,0,0,0
25,8,0,0,2,0,0,2,0,0,1,0,4,1,1,1,1,1,0,1,0,1,1,0
28,11,0,2,1,1,2,1,1,0,0,0,3,2,2,0,0,1,2,1,2,1,0,2
24,7,0,2,0,0,0,0,2,0,1,0,2,0,1,2,0,0,1,1,1,0,1,1
20,9,0,1,0,0,1,0,0,1,2,0,0,2,3,0,3,0,2,1,1,0,0,1
22,1,0,2,0,1,0,0,0,1,1,1,2,2,3,2,1,0,2,1,1,0,0,0
22,9,0,2,0,1,0,0,2,1,2,1,0,0,2,1,1,0,1,1,0,3,1,0
22,8,0,1,0,0,0,0,1,1,2,2,2,2,3,1,0,1,1,0,0,0,1,2
22,2,0,1,1,1,0,1,1,1,2,1,1,3,1,1,0,0,0,1,1,2,1,2
22,6,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,1,0,0,1,0,0,0
26,9,0,0,0,0,1,0,1,0,0,0,2,3,2,2,3,0,1,1,1,1,0,1
20,5,0,1,0,1,1,0,1,1,2,1,3,0,0,1,1,0,1,0,0,1,0,0
22,5,0,0,2,0,1,2,1,2,2,0,1,1,2,2,2,0,0,1,2,2,0,0
26,4,0,1,0,0,2,0,0,1,1,0,1,1,2,2,0,1,1,0,0,1,1,1
26,3,0,2,0,1,0,0,0,0,1,2,1,1,0,3,1,1,1,1,1,0,2,3
22,5,0,1,0,1,0,0,1,0,1,0,1,2,2,1,1,1,0,1,0,1,0,0
29,5,0,0,0,1,0,0,2,1,0,0,3,2,3,0,3,0,2,2,0,1,1,1
27,5,0,3,2,0,0,2,2,1,1,1,0,1,0,1,1,0,1,0,3,1,0,3
23,7,0,1,0,2,2,0,0,0,0,1,0,2,2,0,1,0,2,0,0,1,2,0
20,5,0,2,1,0,0,1,1,1,1,0,1,2,2,0,0,0,0,0,1,0,1,0
23,6,0,2,0,1,2,0,1,1,0,0,0,0,2,4,2,0,1,0,1,0,0,0
23,4,0,0,2,0,2,2,1,0,0,2,0,0,2,2,1,0,1,1,2,1,1,0
24,4,0,1,2,1,1,2,1,1,0,0,0,4,2,2,1,1,1,1,2,1,0,1
25,8,0,1,1,0,1,1,0,0,2,1,2,3,1,3,1,0,0,0,2,1,1,1
26,8,0,1,2,0,0,2,1,0,2,0,1,1,2,2,0,0,1,1,2,2,2,0
29,5,0,1,0,1,0,0,2,0,0,1,3,1,2,1,1,0,1,1,0,1,1,1
18,4,0,2,0,1,0,0,0,1,3,1,1,1,2,1,2,0,1,0,0,0,1,3
19,7,0,1,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,1
20,7,0,3,2,0,2,2,0,2,1,0,1,0,1,0,2,1,1,1,2,2,0,2
23,7,0,1,2,1,0,2,2,0,2,1,0,0,1,0,1,1,1,1,0,0,1,1
26,4,0,2,0,1,0,0,1,1,2,1,0,2,1,2,1,1,1,0,1,1,0,1
22,4,0,2,1,1,0,1,2,2,0,0,3,2,1,1,1,0,1,0,3,0,2,3
18,5,0,0,0,0,1,0,1,0,1,2,1,3,2,3,1,0,0,2,2,1,1,0
22,4,0,1,0,0,0,0,0,1,1,2,1,3,2,2,2,0,1,2,0,0,0,1
18,6,0,2,0,2,1,0,0,1,1,0,0,1,2,1,2,0,2,1,2,2,0,1
18,8,0,1,1,0,1,1,2,1,1,0,2,1,2,2,2,0,2,1,1,1,0,1
31,6,0,1,1,1,1,1,3,2,2,0,3,1,2,2,1,1,1,3,2,0,0,0
19,6,0,0,1,0,1,1,0,0,1,0,1,2,0,0,1,0,1,0,1,2,1,1
22,6,0,1,2,1,1,2,0,1,1,0,1,1,3,2,2,1,1,1,0,0,0,1
18,4,0,1,0,1,0,0,2,0,2,0,0,1,2,1,3,0,2,1,0,0,1,1
30,3,0,1,2,1,0,2,1,0,2,1,2,1,1,3,2,1,2,2,2,1,1,2
18,1,0,0,1,1,0,1,1,0,3,0,2,1,2,0,1,0,1,1,0,1,1,2
24,3,0,2,1,0,1,1,2,1,1,1,0,1,0,1,2,0,1,0,1,2,0,1
22,9,0,1,1,1,2,1,3,1,1,2,1,3,2,2,0,1,1,1,1,0,0,2
19,8,0,0,2,1,0,2,2,0,1,1,2,3,2,2,1,0,0,0,0,2,0,1
18,7,0,1,0,0,0,0,0,2,2,1,0,0,2,3,1,0,1,1,0,1,0,1
24,7,0,0,0,2,0,0,0,1,1,0,2,2,3,1,1,1,1,0,2,2,0,1
21,7,0,1,1,1,0,1,1,1,2,2,1,1,2,1,2,1,2,0,1,1,1,0
23,4,0,2,0,0,0,0,1,0,0,0,1,0,2,0,1,1,2,0,1,2,0,1
26,12,0,0,1,1,1,1,0,1,2,0,3,2,1,1,2,0,1,0,1,2,0,2
18,5,0,1,1,0,1,1,1,2,1,0,1,1,1,1,1,0,0,1,0,1,2,2
23,4,0,1,1,2,0,1,0,0,1,2,1,1,1,0,3,0,2,2,0,0,1,2
21,8,0,1,0,0,2,0,0,1,2,2,2,1,2,0,1,1,1,1,1,1,0,1
23,7,0,1,2,1,1,2,1,1,3,1,3,1,2,2,2,1,2,2,2,1,1,0
19,8,0,2,1,1,0,1,2,1,1,0,1,2,2,2,1,1,1,0,0,0,1,1
30,6,0,2,0,1,1,0,1,2,1,2,1,2,2,3,1,0,1,1,3,0,1,1
19,2,0,2,1,1,0,1,1,1,3,0,1,2,1,2,1,1,2,1,0,0,1,2
30,10,0,1,1,0,1,1,1,1,3,2,3,1,2,2,2,1,1,1,1,1,0,0
25,7,0,1,0,1,2,0,2,3,1,0,1,2,2,1,1,0,1,1,2,0,2,1
25,7,0,0,1,2,1,1,0,1,1,0,0,2,2,0,0,0,1,0,0,0,1,0
20,4,0,1,0,0,2,0,2,1,1,0,0,2,1,1,1,1,0,2,0,2,1,1
27,6,0,2,0,1,0,0,1,0,2,0,1,0,3,1,1,0,1,1,1,1,1,1
19,10,0,0,1,0,2,1,0,0,1,1,1,1,2,0,1,1,0,1,1,0,1,0
25,7,0,1,2,0,0,2,2,0,0,2,1,2,0,1,1,1,1,0,2,2,0,0
28,5,0,2,1,0,0,1,2,0,0,0,0,1,3,3,2,0,1,2,2,0,1,2
23,6,0,0,2,1,1,2,0,2,2,2,1,1,1,2,2,1,0,0,1,2,0,0
20,7,0,0,2,0,0,2,0,1,1,3,1,2,1,0,3,0,0,0,1,1,0,1
25,7,0,1,0,1,0,0,1,0,1,0,2,2,2,3,1,2,1,0,2,2,0,0
21,8,0,2,0,0,0,0,0,0,2,1,2,1,1,3,0,1,1,2,1,1,0,1
23,8,0,1,2,1,1,2,1,1,0,0,1,1,2,0,0,0,1,0,0,1,2,0
18,6,0,0,1,1,1,1,0,1,1,0,0,1,2,1,2,0,0,1,0,1,1,1
24,10,0,1,1,0,0,1,3,0,1,1,1,1,1,1,2,0,0,2,1,1,1,1
23,7,0,2,1,0,0,1,2,0,0,1,0,1,2,2,0,1,2,0,2,0,0,0
24,9,0,2,1,1,0,1,1,1,1,2,2,2,2,0,0,2,1,0,3,1,1,1
24,5,0,1,1,0,1,1,1,2,0,0,2,1,2,2,1,0,0,2,0,0,1,0
24,7,0,1,1,1,1,1,2,0,1,1,2,2,1,0,1,0,1,0,0,1,0,0
28,9,0,0,2,0,2,2,0,0,2,0,4,3,0,3,1,1,1,0,1,0,0,0
20,7,0,2,0,0,1,0,3,1,3,0,3,0,2,2,1,0,1,1,0,1,0,2
26,9,0,1,1,0,0,1,1,1,2,0,1,2,2,0,1,1,0,0,3,1,0,1
20,6,0,0,1,2,1,1,0,2,2,0,0,1,3,0,1,0,1,0,1,1,0,0
20,3,0,2,0,1,0,0,1,2,1,1,2,1,1,0,1,0,0,2,2,0,1,1
20,7,0,1,0,1,0,0,0,1,1,1,3,2,2,2,0,1,0,1,0,1,0,1
23,5,0,2,0,0,1,0,2,1,0,0,1,4,3,4,1,0,2,0,1,2,1,3
18,6,0,1,1,1,1,1,0,2,3,1,1,2,0,0,1,1,0,1,1,2,0,0
24,5,0,0,1,2,0,1,1,0,2,0,2,2,1,1,1,0,1,3,0,0,1,2
26,13,0,0,2,0,0,2,0,1,1,1,0,1,1,1,1,1,1,0,2,2,0,0
22,11,0,2,2,2,1,2,1,0,0,1,2,2,0,1,1,1,1,1,0,0,1,2
25,6,0,0,1,1,1,1,1,3,0,0,1,1,2,1,2,0,2,0,1,2,2,1
20,6,0,2,1,1,0,1,1,0,2,2,1,1,1,3,2,0,0,1,2,0,0,1
21,4,0,0,2,0,0,2,1,0,1,1,0,1,0,0,2,1,1,0,3,1,0,1
28,6,0,1,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,1,0,0,1,0
19,2,0,1,3,0,0,3,0,2,1,1,0,3,1,3,1,1,1,2,1,1,0,0
28,5,0,1,0,2,1,0,1,0,1,1,1,1,0,2,1,0,2,2,1,0,2,1
22,9,0,2,2,2,0,2,1,1,1,1,2,2,3,2,1,0,2,2,0,1,0,3
26,4,0,1,0,1,0,0,0,1,1,1,1,2,2,0,1,0,1,0,2,1,0,1
27,6,0,1,1,0,0,1,3,0,1,1,0,2,0,1,0,0,1,2,2,1,1,1
22,6,0,2,0,0,1,0,1,0,2,1,1,1,2,1,1,1,1,1,2,2,0,1
24,4,0,1,0,0,0,0,0,2,2,0,0,2,1,0,0,1,0,1,1,1,0,0
23,3,0,2,1,1,1,1,1,2,1,2,2,2,2,0,1,1,0,1,2,1,1,1
24,9,0,0,1,0,1,1,2,2,2,0,1,3,3,1,1,1,1,1,1,2,0,2
26,8,0,1,0,1,1,0,0,0,2,0,0,1,2,0,1,0,1,1,1,1,2,1
19,12,0,2,1,2,1,1,0,2,1,0,2,1,0,2,1,0,1,1,2,2,0,2
25,9,0,1,1,1,0,1,0,1,1,1,1,3,2,1,1,1,1,0,0,0,0,1
24,4,0,0,1,1,0,1,1,2,2,2,2,1,3,4,0,0,1,1,2,1,1,1
22,9,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,0,2,1,1,1,0,2
18,5,0,2,1,1,0,1,0,0,2,1,1,1,1,0,0,0,0,0,2,0,0,1
20,3,0,1,1,0,2,1,0,0,0,1,0,3,3,1,2,0,0,1,0,0,1,1
31,6,0,1,1,0,0,1,1,1,1,0,2,1,4,1,1,1,1,1,1,0,0,2
24,8,0,0,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,0,0,2
26,3,0,0,1,1,0,1,1,1,3,0,2,0,1,0,1,1,1,0,1,0,2,1
26,7,0,1,0,1,1,0,2,0,1,0,2,1,2,3,0,1,1,1,1,2,1,0
21,5,0,1,0,0,0,0,3,1,3,0,0,1,2,2,2,1,1,0,0,0,1,2
24,8,0,1,1,1,1,1,2,0,2,1,3,3,2,1,0,2,1,0,0,1,0,0
26,5,0,0,3,1,1,3,1,1,3,1,2,4,1,2,2,1,1,0,1,1,1,0
22,9,0,1,0,1,0,0,3,2,2,0,0,2,0,0,1,0,3,0,0,0,1,0
26,6,0,0,2,1,1,2,1,1,1,0,0,3,2,2,2,0,0,2,3,0,1,1
23,10,0,0,1,0,1,1,1,2,1,0,2,3,2,0,1,0,0,2,0,0,0,1
25,5,0,2,1,0,0,1,1,0,1,1,0,1,1,4,1,1,0,1,0,0,0,2
24,2,0,2,0,1,0,0,0,1,0,1,0,2,2,1,2,0,1,1,2,0,0,3
31,0,0,0,2,1,1,2,1,2,2,1,1,2,2,1,1,0,0,0,0,1,0,3
21,4,0,1,2,1,0,2,0,2,2,2,2,2,1,0,1,0,1,1,1,0,0,0
23,8,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,1,0,0,2,1,1,1
26,3,0,2,0,0,0,0,0,0,1,2,1,0,3,1,0,0,0,2,1,0,1,0
21,8,0,1,1,0,0,1,0,0,0,1,2,3,3,1,1,0,1,2,3,2,1,1
22,7,0,0,3,1,2,3,2,1,1,1,0,1,1,2,1,1,1,1,2,0,1,1
24,7,0,1,0,1,1,0,0,1,2,1,1,1,1,1,1,1,1,2,1,0,1,1
25,6,0,1,0,1,1,0,2,1,0,0,0,2,2,2,0,0,1,0,1,1,0,1
26,0,0,1,0,1,0,0,2,0,1,2,0,2,2,1,0,1,1,2,1,2,0,2
18,6,0,1,2,1,0,2,1,0,2,0,2,2,2,2,1,0,1,1,2,2,2,2
24,7,0,1,1,2,0,1,0,0,1,1,0,2,1,0,1,0,2,2,1,2,2,2
22,10,0,0,0,1,1,0,0,0,2,1,1,0,2,2,1,1,1,1,1,0,0,1
26,8,0,1,1,0,2,1,1,0,2,0,0,2,1,1,1,1,1,2,0,1,0,2
27,10,0,2,0,1,1,0,1,2,0,1,1,2,0,1,1,0,1,0,0,1,0,0
23,6,0,0,1,2,0,1,2,0,1,1,0,1,2,1,0,0,2,1,1,1,1,1
25,7,0,0,0,2,0,0,0,2,1,1,1,2,1,1,1,0,1,0,2,0,2,4
18,1,0,1,1,0,0,1,0,0,1,1,1,0,2,0,0,0,1,1,0,0,2,1
26,6,0,3,0,0,1,0,1,3,2,2,1,2,2,2,2,1,1,0,1,1,0,0
25,3,0,1,0,1,2,0,1,0,1,0,3,2,1,2,0,0,1,1,2,0,1,0
24,6,0,0,0,2,0,0,0,0,3,0,1,2,3,2,1,0,1,0,1,2,1,1
27,5,0,1,1,1,0,1,2,1,1,1,1,2,0,2,2,0,1,1,1,1,2,1
23,3,0,1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,2,0,1,1,0,0
18,7,0,0,0,1,1,0,3,1,2,1,2,1,0,1,2,1,0,0,2,2,0,2
22,7,0,0,2,0,0,2,0,0,1,1,3,4,2,2,1,1,2,1,1,2,1,1
25,6,0,1,1,0,0,1,1,1,1,1,3,0,2,1,0,1,1,0,0,1,1,0
26,5,0,1,0,0,1,0,2,2,0,0,0,2,2,1,0,0,1,1,1,0,1,0
23,6,0,0,1,0,1,1,1,0,1,1,0,2,3,1,2,1,1,1,0,1,1,0
24,9,0,1,0,1,1,0,0,2,1,2,2,1,3,1,1,1,2,2,0,0,0,1
18,7,0,2,0,1,0,0,0,0,0,0,2,3,1,0,2,0,2,0,2,1,0,0
21,5,0,1,0,0,0,0,1,0,1,3,1,0,1,1,1,1,1,4,1,1,0,0
23,5,0,0,2,2,0,2,2,0,1,1,2,1,3,2,2,1,0,0,0,0,2,0
26,5,0,2,1,2,0,1,1,0,0,0,2,2,2,2,0,1,1,0,1,0,1,0
20,7,0,0,0,2,0,0,0,1,1,2,1,1,1,0,1,1,1,1,3,1,0,1
22,6,0,0,2,1,0,2,2,1,1,0,3,1,1,1,1,0,0,1,3,1,0,1
22,1,0,0,0,0,0,0,0,2,3,0,3,1,2,1,2,0,1,0,1,1,2,2
22,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,2,0
22,0,0,0,0,0,1,0,0,0,1,2,2,3,2,1,0,1,0,2,0,2,0,1
19,6,0,1,1,2,0,1,2,0,0,1,1,2,1,1,2,0,1,0,1,0,1,0
19,4,0,0,1,0,0,1,2,0,2,1,2,0,1,2,1,1,0,0,1,0,0,3
